  0%|                                                                       | 0/16200 [00:00<?, ?it/s]/root/miniconda3/lib/python3.12/site-packages/transformers/models/encoder_decoder/modeling_encoder_decoder.py:557: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than tensor.new_tensor(sourceTensor).
{'loss': 2.7902, 'grad_norm': 4.113624572753906, 'learning_rate': 0.0001524814814814815, 'epoch': 0.71}
{'loss': 3.1077, 'grad_norm': 9.898322105407715, 'learning_rate': 0.00015241975308641977, 'epoch': 0.71}
{'loss': 3.0454, 'grad_norm': 4.744999885559082, 'learning_rate': 0.00015235802469135801, 'epoch': 0.72}
{'loss': 2.7016, 'grad_norm': 6.451904296875, 'learning_rate': 0.00015229629629629632, 'epoch': 0.72}
{'loss': 3.3376, 'grad_norm': 6.2293243408203125, 'learning_rate': 0.0001522345679012346, 'epoch': 0.72}
{'loss': 3.1971, 'grad_norm': 7.203713417053223, 'learning_rate': 0.00015217283950617284, 'epoch': 0.72}
{'loss': 3.3912, 'grad_norm': 5.708430767059326, 'learning_rate': 0.0001521111111111111, 'epoch': 0.72}
{'loss': 3.758, 'grad_norm': 5.277132987976074, 'learning_rate': 0.00015204938271604938, 'epoch': 0.72}
{'loss': 2.9021, 'grad_norm': 5.692667484283447, 'learning_rate': 0.00015198765432098768, 'epoch': 0.72}
{'loss': 3.4152, 'grad_norm': 4.745474338531494, 'learning_rate': 0.00015192592592592593, 'epoch': 0.72}
{'loss': 2.5603, 'grad_norm': 3.708312749862671, 'learning_rate': 0.0001518641975308642, 'epoch': 0.72}
{'loss': 2.7683, 'grad_norm': 5.785922527313232, 'learning_rate': 0.00015180246913580248, 'epoch': 0.72}
{'loss': 3.1051, 'grad_norm': 6.251147270202637, 'learning_rate': 0.00015174074074074073, 'epoch': 0.72}
{'loss': 3.2485, 'grad_norm': 5.09977912902832, 'learning_rate': 0.00015167901234567903, 'epoch': 0.73}
{'loss': 2.8848, 'grad_norm': 8.942157745361328, 'learning_rate': 0.0001516172839506173, 'epoch': 0.73}
{'loss': 3.2697, 'grad_norm': 4.224001407623291, 'learning_rate': 0.00015155555555555557, 'epoch': 0.73}
{'loss': 2.9502, 'grad_norm': 7.131610870361328, 'learning_rate': 0.00015149382716049382, 'epoch': 0.73}
{'loss': 3.0441, 'grad_norm': 4.951596736907959, 'learning_rate': 0.0001514320987654321, 'epoch': 0.73}
{'loss': 2.7504, 'grad_norm': 20.226818084716797, 'learning_rate': 0.0001513703703703704, 'epoch': 0.73}
{'loss': 2.4747, 'grad_norm': 6.630990028381348, 'learning_rate': 0.00015130864197530864, 'epoch': 0.73}
{'loss': 3.0065, 'grad_norm': 3.0566887855529785, 'learning_rate': 0.00015124691358024692, 'epoch': 0.73}
{'loss': 3.3792, 'grad_norm': 7.962925434112549, 'learning_rate': 0.0001511851851851852, 'epoch': 0.73}
{'loss': 2.8507, 'grad_norm': 5.937767028808594, 'learning_rate': 0.00015112345679012346, 'epoch': 0.73}
{'loss': 3.3753, 'grad_norm': 7.740881443023682, 'learning_rate': 0.00015106172839506174, 'epoch': 0.74}
{'loss': 2.7678, 'grad_norm': 3.80126690864563, 'learning_rate': 0.000151, 'epoch': 0.74}
{'loss': 3.2926, 'grad_norm': 9.815840721130371, 'learning_rate': 0.00015093827160493828, 'epoch': 0.74}
{'loss': 2.9059, 'grad_norm': 4.163932800292969, 'learning_rate': 0.00015087654320987653, 'epoch': 0.74}
{'loss': 2.9663, 'grad_norm': 7.09673547744751, 'learning_rate': 0.00015081481481481483, 'epoch': 0.74}
{'loss': 2.8395, 'grad_norm': 5.70171594619751, 'learning_rate': 0.0001507530864197531, 'epoch': 0.74}
{'loss': 2.9094, 'grad_norm': 5.333834648132324, 'learning_rate': 0.00015069135802469135, 'epoch': 0.74}
  warnings.warn(                                  
{'eval_loss': 2.793897867202759, 'eval_runtime': 412.6896, 'eval_samples_per_second': 1.454, 'eval_steps_per_second': 1.454, 'epoch': 0.74}
/root/miniconda3/lib/python3.12/site-packages/transformers/models/encoder_decoder/modeling_encoder_decoder.py:557: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than tensor.new_tensor(sourceTensor).
  decoder_attention_mask = decoder_input_ids.new_tensor(decoder_input_ids != self.config.pad_token_id)
/root/miniconda3/lib/python3.12/site-packages/transformers/models/encoder_decoder/modeling_encoder_decoder.py:577: FutureWarning: Version v4.12.0 introduces a better way to train encoder-decoder models by computing the loss inside the encoder-decoder framework rather than in the decoder itself. You may observe training discrepancies if fine-tuning a model trained with versions anterior to 4.12.0. The decoder_input_ids are now created based on the labels, no need to pass them yourself anymore.
  warnings.warn(DEPRECATION_WARNING, FutureWarning)
                                                  
{'loss': 2.9624, 'grad_norm': 3.9960544109344482, 'learning_rate': 0.00015062962962962963, 'epoch': 0.74}
{'loss': 2.7664, 'grad_norm': 4.817371845245361, 'learning_rate': 0.0001505679012345679, 'epoch': 0.74}
{'loss': 3.3223, 'grad_norm': 4.597641468048096, 'learning_rate': 0.00015050617283950617, 'epoch': 0.74}
{'loss': 3.4194, 'grad_norm': 5.660142421722412, 'learning_rate': 0.00015044444444444445, 'epoch': 0.74}
{'loss': 3.1266, 'grad_norm': 4.588673114776611, 'learning_rate': 0.00015038271604938272, 'epoch': 0.75}
{'loss': 2.7011, 'grad_norm': 6.871037483215332, 'learning_rate': 0.000150320987654321, 'epoch': 0.75}
{'loss': 2.644, 'grad_norm': 8.824200630187988, 'learning_rate': 0.00015025925925925927, 'epoch': 0.75}
{'loss': 2.8342, 'grad_norm': 5.51090145111084, 'learning_rate': 0.00015019753086419754, 'epoch': 0.75}
{'loss': 2.3993, 'grad_norm': 4.217279434204102, 'learning_rate': 0.00015013580246913582, 'epoch': 0.75}
{'loss': 2.8032, 'grad_norm': 5.074184894561768, 'learning_rate': 0.0001500740740740741, 'epoch': 0.75}
{'loss': 2.7852, 'grad_norm': 4.174840927124023, 'learning_rate': 0.00015001234567901234, 'epoch': 0.75}
{'loss': 3.2449, 'grad_norm': 4.3625030517578125, 'learning_rate': 0.00014995061728395064, 'epoch': 0.75}
{'loss': 2.8741, 'grad_norm': 5.251242160797119, 'learning_rate': 0.0001498888888888889, 'epoch': 0.75}
{'loss': 3.0837, 'grad_norm': 6.926584243774414, 'learning_rate': 0.00014982716049382716, 'epoch': 0.75}
{'loss': 2.8078, 'grad_norm': 5.2098388671875, 'learning_rate': 0.00014976543209876543, 'epoch': 0.75}
{'loss': 2.1449, 'grad_norm': 10.919454574584961, 'learning_rate': 0.0001497037037037037, 'epoch': 0.76}
{'loss': 3.6843, 'grad_norm': 10.476770401000977, 'learning_rate': 0.00014964197530864198, 'epoch': 0.76}
{'loss': 3.7736, 'grad_norm': 9.158740043640137, 'learning_rate': 0.00014958024691358025, 'epoch': 0.76}
{'loss': 2.8198, 'grad_norm': 7.950628280639648, 'learning_rate': 0.00014951851851851853, 'epoch': 0.76}
{'loss': 2.4671, 'grad_norm': 4.651590347290039, 'learning_rate': 0.0001494567901234568, 'epoch': 0.76}
{'loss': 2.9922, 'grad_norm': 3.3779406547546387, 'learning_rate': 0.00014939506172839505, 'epoch': 0.76}
{'loss': 3.0171, 'grad_norm': 3.4413650035858154, 'learning_rate': 0.00014933333333333335, 'epoch': 0.76}
{'loss': 2.665, 'grad_norm': 4.234182834625244, 'learning_rate': 0.00014927160493827162, 'epoch': 0.76}
{'loss': 3.0845, 'grad_norm': 5.811956405639648, 'learning_rate': 0.00014920987654320987, 'epoch': 0.76}
{'loss': 3.24, 'grad_norm': 6.493916034698486, 'learning_rate': 0.00014914814814814814, 'epoch': 0.76}
{'loss': 3.3198, 'grad_norm': 7.229963302612305, 'learning_rate': 0.00014908641975308644, 'epoch': 0.76}
{'loss': 3.2384, 'grad_norm': 7.296105861663818, 'learning_rate': 0.0001490246913580247, 'epoch': 0.77}
{'loss': 3.0493, 'grad_norm': 4.789237976074219, 'learning_rate': 0.00014896296296296296, 'epoch': 0.77}
{'loss': 3.535, 'grad_norm': 4.235842704772949, 'learning_rate': 0.00014890123456790124, 'epoch': 0.77}
{'loss': 3.1082, 'grad_norm': 10.09853744506836, 'learning_rate': 0.0001488395061728395, 'epoch': 0.77}
{'loss': 3.5691, 'grad_norm': 15.420167922973633, 'learning_rate': 0.00014877777777777779, 'epoch': 0.77}
{'loss': 3.8413, 'grad_norm': 5.134814739227295, 'learning_rate': 0.00014871604938271606, 'epoch': 0.77}
{'loss': 3.0791, 'grad_norm': 4.659122467041016, 'learning_rate': 0.00014865432098765433, 'epoch': 0.77}
{'loss': 2.9567, 'grad_norm': 6.525450706481934, 'learning_rate': 0.0001485925925925926, 'epoch': 0.77}
{'loss': 3.8416, 'grad_norm': 4.853729248046875, 'learning_rate': 0.00014853086419753085, 'epoch': 0.77}
{'loss': 2.954, 'grad_norm': 9.241488456726074, 'learning_rate': 0.00014846913580246916, 'epoch': 0.77}
{'loss': 2.7546, 'grad_norm': 4.363748550415039, 'learning_rate': 0.00014840740740740743, 'epoch': 0.78}
{'loss': 2.5992, 'grad_norm': 3.443162679672241, 'learning_rate': 0.00014834567901234568, 'epoch': 0.78}
{'loss': 2.6642, 'grad_norm': 7.943073749542236, 'learning_rate': 0.00014828395061728395, 'epoch': 0.78}
{'loss': 2.9962, 'grad_norm': 8.638729095458984, 'learning_rate': 0.00014822222222222225, 'epoch': 0.78}
{'loss': 2.758, 'grad_norm': 5.51627254486084, 'learning_rate': 0.0001481604938271605, 'epoch': 0.78}
{'loss': 2.9971, 'grad_norm': 5.761147975921631, 'learning_rate': 0.00014809876543209877, 'epoch': 0.78}
{'loss': 2.8788, 'grad_norm': 5.092127799987793, 'learning_rate': 0.00014803703703703704, 'epoch': 0.78}
{'loss': 2.5407, 'grad_norm': 4.453933238983154, 'learning_rate': 0.00014797530864197532, 'epoch': 0.78}
{'loss': 3.2008, 'grad_norm': 3.5021755695343018, 'learning_rate': 0.0001479135802469136, 'epoch': 0.78}
{'loss': 2.4071, 'grad_norm': 8.25377082824707, 'learning_rate': 0.00014785185185185187, 'epoch': 0.78}
{'loss': 3.0336, 'grad_norm': 4.473169326782227, 'learning_rate': 0.00014779012345679014, 'epoch': 0.78}
{'loss': 3.4703, 'grad_norm': 9.188678741455078, 'learning_rate': 0.00014772839506172839, 'epoch': 0.79}
{'loss': 3.2038, 'grad_norm': 3.84399676322937, 'learning_rate': 0.00014766666666666666, 'epoch': 0.79}
{'loss': 3.3085, 'grad_norm': 7.911136627197266, 'learning_rate': 0.00014760493827160496, 'epoch': 0.79}
{'loss': 2.7099, 'grad_norm': 5.1042304039001465, 'learning_rate': 0.0001475432098765432, 'epoch': 0.79}
{'loss': 3.1766, 'grad_norm': 4.14184045791626, 'learning_rate': 0.00014748148148148148, 'epoch': 0.79}
{'loss': 3.0657, 'grad_norm': 4.02318811416626, 'learning_rate': 0.00014741975308641976, 'epoch': 0.79}
{'loss': 3.0221, 'grad_norm': 5.705940246582031, 'learning_rate': 0.00014735802469135803, 'epoch': 0.79}
{'loss': 2.6364, 'grad_norm': 6.049953937530518, 'learning_rate': 0.0001472962962962963, 'epoch': 0.79}
{'loss': 2.6009, 'grad_norm': 4.375154495239258, 'learning_rate': 0.00014723456790123458, 'epoch': 0.79}
{'loss': 3.4031, 'grad_norm': 4.7926506996154785, 'learning_rate': 0.00014717283950617285, 'epoch': 0.79}
{'loss': 2.8005, 'grad_norm': 3.9446887969970703, 'learning_rate': 0.00014711111111111112, 'epoch': 0.79}
{'loss': 3.4447, 'grad_norm': 6.316922664642334, 'learning_rate': 0.0001470493827160494, 'epoch': 0.8}
{'loss': 3.4508, 'grad_norm': 6.715431213378906, 'learning_rate': 0.00014698765432098767, 'epoch': 0.8}
{'loss': 3.1527, 'grad_norm': 9.266366958618164, 'learning_rate': 0.00014692592592592595, 'epoch': 0.8}
{'loss': 2.6952, 'grad_norm': 6.421245098114014, 'learning_rate': 0.0001468641975308642, 'epoch': 0.8}
{'loss': 2.8024, 'grad_norm': 3.945438861846924, 'learning_rate': 0.00014680246913580247, 'epoch': 0.8}
{'loss': 2.9477, 'grad_norm': 3.815415859222412, 'learning_rate': 0.00014674074074074077, 'epoch': 0.8}
{'loss': 2.9756, 'grad_norm': 9.368067741394043, 'learning_rate': 0.000146679012345679, 'epoch': 0.8}
{'loss': 2.9701, 'grad_norm': 5.244173526763916, 'learning_rate': 0.0001466172839506173, 'epoch': 0.8}
{'loss': 3.2256, 'grad_norm': 5.02579927444458, 'learning_rate': 0.00014655555555555556, 'epoch': 0.8}
{'loss': 3.9318, 'grad_norm': 5.35691499710083, 'learning_rate': 0.00014649382716049383, 'epoch': 0.8}
{'loss': 3.7381, 'grad_norm': 7.268657684326172, 'learning_rate': 0.0001464320987654321, 'epoch': 0.8}
{'loss': 2.8898, 'grad_norm': 3.983659267425537, 'learning_rate': 0.00014637037037037038, 'epoch': 0.81}
{'loss': 2.8772, 'grad_norm': 6.670384883880615, 'learning_rate': 0.00014630864197530866, 'epoch': 0.81}
{'loss': 2.8881, 'grad_norm': 3.853816509246826, 'learning_rate': 0.0001462469135802469, 'epoch': 0.81}
{'loss': 3.1727, 'grad_norm': 3.274322271347046, 'learning_rate': 0.0001461851851851852, 'epoch': 0.81}
{'loss': 3.0713, 'grad_norm': 8.30314826965332, 'learning_rate': 0.00014612345679012348, 'epoch': 0.81}
{'loss': 2.8244, 'grad_norm': 3.347440481185913, 'learning_rate': 0.00014606172839506172, 'epoch': 0.81}
{'loss': 2.5242, 'grad_norm': 4.377588272094727, 'learning_rate': 0.000146, 'epoch': 0.81}
{'loss': 2.9, 'grad_norm': 5.189154624938965, 'learning_rate': 0.00014593827160493827, 'epoch': 0.81}
{'loss': 2.4966, 'grad_norm': 6.624817371368408, 'learning_rate': 0.00014587654320987657, 'epoch': 0.81}
{'loss': 2.855, 'grad_norm': 7.2854905128479, 'learning_rate': 0.00014581481481481482, 'epoch': 0.81}
{'loss': 3.7111, 'grad_norm': 7.992575645446777, 'learning_rate': 0.0001457530864197531, 'epoch': 0.81}
{'loss': 3.075, 'grad_norm': 5.801377773284912, 'learning_rate': 0.00014569135802469137, 'epoch': 0.82}
{'loss': 2.6463, 'grad_norm': 5.2991180419921875, 'learning_rate': 0.00014562962962962961, 'epoch': 0.82}
{'loss': 2.7374, 'grad_norm': 6.566559791564941, 'learning_rate': 0.00014556790123456791, 'epoch': 0.82}
{'loss': 2.9646, 'grad_norm': 4.836554527282715, 'learning_rate': 0.0001455061728395062, 'epoch': 0.82}
{'loss': 2.6463, 'grad_norm': 12.990135192871094, 'learning_rate': 0.00014544444444444446, 'epoch': 0.82}
{'loss': 3.7119, 'grad_norm': 6.2302374839782715, 'learning_rate': 0.0001453827160493827, 'epoch': 0.82}
{'loss': 2.9709, 'grad_norm': 5.954987049102783, 'learning_rate': 0.00014532098765432098, 'epoch': 0.82}
{'loss': 2.7838, 'grad_norm': 12.31476879119873, 'learning_rate': 0.00014525925925925928, 'epoch': 0.82}
{'loss': 2.6996, 'grad_norm': 5.2461466789245605, 'learning_rate': 0.00014519753086419753, 'epoch': 0.82}
{'loss': 3.7107, 'grad_norm': 7.130992889404297, 'learning_rate': 0.0001451358024691358, 'epoch': 0.82}
{'loss': 2.6859, 'grad_norm': 4.5909013748168945, 'learning_rate': 0.00014507407407407408, 'epoch': 0.82}
{'loss': 3.1272, 'grad_norm': 6.467410564422607, 'learning_rate': 0.00014501234567901235, 'epoch': 0.83}
{'loss': 3.3032, 'grad_norm': 6.6839752197265625, 'learning_rate': 0.00014495061728395063, 'epoch': 0.83}
{'loss': 3.2862, 'grad_norm': 4.910985946655273, 'learning_rate': 0.0001448888888888889, 'epoch': 0.83}
{'loss': 2.7974, 'grad_norm': 5.324882984161377, 'learning_rate': 0.00014482716049382717, 'epoch': 0.83}
{'loss': 3.1225, 'grad_norm': 4.831127643585205, 'learning_rate': 0.00014476543209876542, 'epoch': 0.83}
{'loss': 2.6817, 'grad_norm': 6.955620765686035, 'learning_rate': 0.00014470370370370372, 'epoch': 0.83}
{'loss': 2.8244, 'grad_norm': 8.637871742248535, 'learning_rate': 0.000144641975308642, 'epoch': 0.83}
{'loss': 3.2215, 'grad_norm': 5.207119464874268, 'learning_rate': 0.00014458024691358024, 'epoch': 0.83}
{'loss': 3.2186, 'grad_norm': 7.290143966674805, 'learning_rate': 0.00014451851851851851, 'epoch': 0.83}
  warnings.warn(                                  
{'eval_loss': 2.797585964202881, 'eval_runtime': 412.0238, 'eval_samples_per_second': 1.456, 'eval_steps_per_second': 1.456, 'epoch': 0.83}
/root/miniconda3/lib/python3.12/site-packages/transformers/models/encoder_decoder/modeling_encoder_decoder.py:557: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than tensor.new_tensor(sourceTensor).
  decoder_attention_mask = decoder_input_ids.new_tensor(decoder_input_ids != self.config.pad_token_id)
/root/miniconda3/lib/python3.12/site-packages/transformers/models/encoder_decoder/modeling_encoder_decoder.py:577: FutureWarning: Version v4.12.0 introduces a better way to train encoder-decoder models by computing the loss inside the encoder-decoder framework rather than in the decoder itself. You may observe training discrepancies if fine-tuning a model trained with versions anterior to 4.12.0. The decoder_input_ids are now created based on the labels, no need to pass them yourself anymore.
  warnings.warn(DEPRECATION_WARNING, FutureWarning)
                                                  
{'loss': 2.613, 'grad_norm': 4.18711519241333, 'learning_rate': 0.0001444567901234568, 'epoch': 0.83}
{'loss': 3.1396, 'grad_norm': 4.897027969360352, 'learning_rate': 0.00014439506172839506, 'epoch': 0.84}
{'loss': 3.6916, 'grad_norm': 3.7478344440460205, 'learning_rate': 0.00014433333333333334, 'epoch': 0.84}
{'loss': 3.804, 'grad_norm': 6.050228118896484, 'learning_rate': 0.0001442716049382716, 'epoch': 0.84}
{'loss': 3.1942, 'grad_norm': 4.964255332946777, 'learning_rate': 0.00014420987654320988, 'epoch': 0.84}
{'loss': 3.478, 'grad_norm': 5.435728549957275, 'learning_rate': 0.00014414814814814816, 'epoch': 0.84}
{'loss': 3.013, 'grad_norm': 4.613772392272949, 'learning_rate': 0.00014408641975308643, 'epoch': 0.84}
{'loss': 2.2759, 'grad_norm': 3.9080018997192383, 'learning_rate': 0.0001440246913580247, 'epoch': 0.84}
{'loss': 2.7288, 'grad_norm': 5.439021587371826, 'learning_rate': 0.00014396296296296298, 'epoch': 0.84}
{'loss': 3.651, 'grad_norm': 9.732486724853516, 'learning_rate': 0.00014390123456790123, 'epoch': 0.84}
{'loss': 3.4563, 'grad_norm': 8.877402305603027, 'learning_rate': 0.00014383950617283953, 'epoch': 0.84}
{'loss': 3.361, 'grad_norm': 5.10040807723999, 'learning_rate': 0.0001437777777777778, 'epoch': 0.84}
{'loss': 2.481, 'grad_norm': 5.568819046020508, 'learning_rate': 0.00014371604938271605, 'epoch': 0.85}
{'loss': 3.4118, 'grad_norm': 3.9654810428619385, 'learning_rate': 0.00014365432098765432, 'epoch': 0.85}
{'loss': 2.9529, 'grad_norm': 6.642820358276367, 'learning_rate': 0.0001435925925925926, 'epoch': 0.85}
{'loss': 3.4074, 'grad_norm': 8.139374732971191, 'learning_rate': 0.00014353086419753087, 'epoch': 0.85}
{'loss': 3.0889, 'grad_norm': 6.810214519500732, 'learning_rate': 0.00014346913580246914, 'epoch': 0.85}
{'loss': 2.5928, 'grad_norm': 4.977262020111084, 'learning_rate': 0.00014340740740740742, 'epoch': 0.85}
{'loss': 3.0736, 'grad_norm': 7.297285079956055, 'learning_rate': 0.0001433456790123457, 'epoch': 0.85}
{'loss': 3.1379, 'grad_norm': 9.755061149597168, 'learning_rate': 0.00014328395061728396, 'epoch': 0.85}
{'loss': 3.5006, 'grad_norm': 5.17436408996582, 'learning_rate': 0.00014322222222222224, 'epoch': 0.85}
{'loss': 2.6997, 'grad_norm': 4.6622843742370605, 'learning_rate': 0.0001431604938271605, 'epoch': 0.85}
{'loss': 3.0997, 'grad_norm': 4.651973724365234, 'learning_rate': 0.00014309876543209876, 'epoch': 0.85}
{'loss': 3.3321, 'grad_norm': 5.414169788360596, 'learning_rate': 0.00014303703703703703, 'epoch': 0.86}
{'loss': 2.8844, 'grad_norm': 5.981006145477295, 'learning_rate': 0.00014297530864197533, 'epoch': 0.86}
{'loss': 2.8813, 'grad_norm': 4.669342517852783, 'learning_rate': 0.00014291358024691358, 'epoch': 0.86}
{'loss': 3.3209, 'grad_norm': 4.890692710876465, 'learning_rate': 0.00014285185185185185, 'epoch': 0.86}
{'loss': 3.3088, 'grad_norm': 8.190815925598145, 'learning_rate': 0.00014279012345679013, 'epoch': 0.86}
{'loss': 2.886, 'grad_norm': 4.904009819030762, 'learning_rate': 0.0001427283950617284, 'epoch': 0.86}
{'loss': 3.5749, 'grad_norm': 5.0273118019104, 'learning_rate': 0.00014266666666666667, 'epoch': 0.86}
{'loss': 3.3631, 'grad_norm': 3.9915976524353027, 'learning_rate': 0.00014260493827160495, 'epoch': 0.86}
{'loss': 2.6448, 'grad_norm': 3.489968776702881, 'learning_rate': 0.00014254320987654322, 'epoch': 0.86}
{'loss': 2.9891, 'grad_norm': 5.510855197906494, 'learning_rate': 0.0001424814814814815, 'epoch': 0.86}
{'loss': 2.4692, 'grad_norm': 5.454300880432129, 'learning_rate': 0.00014241975308641974, 'epoch': 0.86}
{'loss': 2.627, 'grad_norm': 5.453793525695801, 'learning_rate': 0.00014235802469135804, 'epoch': 0.87}
{'loss': 2.5344, 'grad_norm': 4.104012966156006, 'learning_rate': 0.00014229629629629632, 'epoch': 0.87}
{'loss': 3.4402, 'grad_norm': 8.856088638305664, 'learning_rate': 0.00014223456790123456, 'epoch': 0.87}
{'loss': 3.1696, 'grad_norm': 3.823575019836426, 'learning_rate': 0.00014217283950617284, 'epoch': 0.87}
{'loss': 3.5866, 'grad_norm': 4.712802410125732, 'learning_rate': 0.00014211111111111114, 'epoch': 0.87}
{'loss': 3.121, 'grad_norm': 6.8478312492370605, 'learning_rate': 0.00014204938271604938, 'epoch': 0.87}
{'loss': 3.2568, 'grad_norm': 5.682523727416992, 'learning_rate': 0.00014198765432098766, 'epoch': 0.87}
{'loss': 2.925, 'grad_norm': 5.069509506225586, 'learning_rate': 0.00014192592592592593, 'epoch': 0.87}
{'loss': 2.956, 'grad_norm': 7.791549205780029, 'learning_rate': 0.0001418641975308642, 'epoch': 0.87}
{'loss': 3.4764, 'grad_norm': 4.6881232261657715, 'learning_rate': 0.00014180246913580248, 'epoch': 0.87}
{'loss': 3.2237, 'grad_norm': 3.771629810333252, 'learning_rate': 0.00014174074074074075, 'epoch': 0.88}
{'loss': 2.8772, 'grad_norm': 4.75786018371582, 'learning_rate': 0.00014167901234567903, 'epoch': 0.88}
{'loss': 2.5842, 'grad_norm': 6.031387805938721, 'learning_rate': 0.00014161728395061727, 'epoch': 0.88}
{'loss': 3.2239, 'grad_norm': 8.682493209838867, 'learning_rate': 0.00014155555555555555, 'epoch': 0.88}
{'loss': 3.4391, 'grad_norm': 6.706668853759766, 'learning_rate': 0.00014149382716049385, 'epoch': 0.88}
{'loss': 2.672, 'grad_norm': 6.0623064041137695, 'learning_rate': 0.0001414320987654321, 'epoch': 0.88}
{'loss': 2.9059, 'grad_norm': 5.117400646209717, 'learning_rate': 0.00014137037037037037, 'epoch': 0.88}
{'loss': 3.4087, 'grad_norm': 6.456783294677734, 'learning_rate': 0.00014130864197530864, 'epoch': 0.88}
{'loss': 4.0476, 'grad_norm': 8.680681228637695, 'learning_rate': 0.00014124691358024694, 'epoch': 0.88}
{'loss': 3.9001, 'grad_norm': 12.570939064025879, 'learning_rate': 0.0001411851851851852, 'epoch': 0.88}
{'loss': 2.4945, 'grad_norm': 5.768484592437744, 'learning_rate': 0.00014112345679012346, 'epoch': 0.88}
{'loss': 3.3186, 'grad_norm': 6.7482008934021, 'learning_rate': 0.00014106172839506174, 'epoch': 0.89}
{'loss': 2.5416, 'grad_norm': 4.769829273223877, 'learning_rate': 0.000141, 'epoch': 0.89}
{'loss': 3.1196, 'grad_norm': 8.001009941101074, 'learning_rate': 0.00014093827160493829, 'epoch': 0.89}
{'loss': 2.6332, 'grad_norm': 5.529943466186523, 'learning_rate': 0.00014087654320987656, 'epoch': 0.89}
{'loss': 3.0969, 'grad_norm': 5.332167148590088, 'learning_rate': 0.00014081481481481483, 'epoch': 0.89}
{'loss': 3.5716, 'grad_norm': 6.3939032554626465, 'learning_rate': 0.00014075308641975308, 'epoch': 0.89}
{'loss': 2.4454, 'grad_norm': 6.091679573059082, 'learning_rate': 0.00014069135802469135, 'epoch': 0.89}
{'loss': 3.3866, 'grad_norm': 6.8925065994262695, 'learning_rate': 0.00014062962962962965, 'epoch': 0.89}
{'loss': 2.9894, 'grad_norm': 4.979087829589844, 'learning_rate': 0.0001405679012345679, 'epoch': 0.89}
{'loss': 2.6683, 'grad_norm': 5.358528137207031, 'learning_rate': 0.00014050617283950618, 'epoch': 0.89}
{'loss': 2.7071, 'grad_norm': 4.765856742858887, 'learning_rate': 0.00014044444444444445, 'epoch': 0.89}
{'loss': 3.2554, 'grad_norm': 5.1320929527282715, 'learning_rate': 0.00014038271604938272, 'epoch': 0.9}
{'loss': 2.3115, 'grad_norm': 4.922436237335205, 'learning_rate': 0.000140320987654321, 'epoch': 0.9}
{'loss': 2.8775, 'grad_norm': 4.842088222503662, 'learning_rate': 0.00014025925925925927, 'epoch': 0.9}
{'loss': 2.6552, 'grad_norm': 4.875040531158447, 'learning_rate': 0.00014019753086419754, 'epoch': 0.9}
{'loss': 3.4443, 'grad_norm': 6.222746849060059, 'learning_rate': 0.0001401358024691358, 'epoch': 0.9}
{'loss': 2.8625, 'grad_norm': 8.657583236694336, 'learning_rate': 0.0001400740740740741, 'epoch': 0.9}
{'loss': 3.0431, 'grad_norm': 5.441398620605469, 'learning_rate': 0.00014001234567901237, 'epoch': 0.9}
{'loss': 2.9654, 'grad_norm': 4.142420768737793, 'learning_rate': 0.0001399506172839506, 'epoch': 0.9}
{'loss': 2.5024, 'grad_norm': 6.055872917175293, 'learning_rate': 0.00013988888888888889, 'epoch': 0.9}
{'loss': 2.3286, 'grad_norm': 4.162294387817383, 'learning_rate': 0.00013982716049382716, 'epoch': 0.9}
{'loss': 2.7278, 'grad_norm': 3.643026113510132, 'learning_rate': 0.00013976543209876546, 'epoch': 0.9}
{'loss': 2.7754, 'grad_norm': 4.124515056610107, 'learning_rate': 0.0001397037037037037, 'epoch': 0.91}
{'loss': 2.9962, 'grad_norm': 5.571829319000244, 'learning_rate': 0.00013964197530864198, 'epoch': 0.91}
{'loss': 3.2962, 'grad_norm': 8.017061233520508, 'learning_rate': 0.00013958024691358025, 'epoch': 0.91}
{'loss': 2.7093, 'grad_norm': 13.985363960266113, 'learning_rate': 0.0001395185185185185, 'epoch': 0.91}
{'loss': 2.4139, 'grad_norm': 5.358932018280029, 'learning_rate': 0.0001394567901234568, 'epoch': 0.91}
{'loss': 3.53, 'grad_norm': 8.737218856811523, 'learning_rate': 0.00013939506172839508, 'epoch': 0.91}
{'loss': 3.0537, 'grad_norm': 8.117655754089355, 'learning_rate': 0.00013933333333333335, 'epoch': 0.91}
{'loss': 2.7102, 'grad_norm': 6.814184188842773, 'learning_rate': 0.0001392716049382716, 'epoch': 0.91}
{'loss': 3.5778, 'grad_norm': 12.46120834350586, 'learning_rate': 0.0001392098765432099, 'epoch': 0.91}
{'loss': 2.9078, 'grad_norm': 10.18100643157959, 'learning_rate': 0.00013914814814814817, 'epoch': 0.91}
{'loss': 3.0329, 'grad_norm': 5.020604133605957, 'learning_rate': 0.00013908641975308642, 'epoch': 0.91}
